feed_name,comment_id,receiver_id,sender_id,action,seen,notification_id,timestamp,timestring
BALT,789850752,shoutay,darekj,Darek commented on test post,f,346997718,1482164353.33295,2016-12-19 11:19:13
BALT,789850752,darekj,darekj,Darek commented on test post,f,590705246,1482164353.33295,2016-12-19 11:19:13
BALT,789850752,darekj,darekj,Darek commented on test post,f,870862082,1482164353.33295,2016-12-19 11:19:13
BALT,174871669,elic,darekj,"Darek commented on bro, why does this take so long to type",t,308440929,1482812522.65239,2016-12-26 22:22:02
BALT,977529819,elic,darekj,Darek commented on blob's second post,t,576810207,1482535684.2594,2016-12-23 18:28:04
BALT,426973663,elic,elic,Eli commented on AMAZING ,t,79733063,1482535951.12645,2016-12-23 23:32:31
BALT,906987999,elic,darekj,"Darek commented on eightlol
",t,567954843,1482189598.00862,2016-12-19 18:19:58
BALT,68452026,elic,elic,Eli commented on this should be edited,t,760418927,1482535964.91977,2016-12-23 23:32:44
BALT,977529819,blobblob,darekj,Darek commented on blob's second post,t,576810206,1482535684.2594,2016-12-23 18:28:04
BALT,68452026,elic,elic,Eli commented on this should be edited,t,563658934,1482535964.91977,2016-12-23 23:32:44
BALT,68452026,elic,elic,Eli commented on this should be edited,t,339666443,1482535964.91977,2016-12-23 23:32:44
BALT,704827397,elic,darekj,Darek commented on mango mango mango,t,207712674,1482182061.61794,2016-12-19 16:14:21
BALT,564169434,elic,elic,Eli commented on test,t,792511999,1482535987.55283,2016-12-23 23:33:07
BALT,564169434,elic,elic,Eli commented on test,t,499395938,1482535987.55283,2016-12-23 23:33:07
BALT,74093888,elic,darekj,Darek commented on AHHHHH,t,525177524,1482182326.57711,2016-12-19 16:18:46
BALT,977529819,darekj,darekj,Darek commented on blob's second post,t,493204007,1482535684.2594,2016-12-23 18:28:04
BALT,66991383,darekj,shoutay,Shouta commented on dfdkjflkd,t,298982825,1482031788.21494,2016-12-17 22:29:48
BALT,789850752,darekj,darekj,Darek commented on test post,t,770103837,1482164353.33295,2016-12-19 11:19:13
BALT,174871669,darekj,darekj,"Darek commented on bro, why does this take so long to type",t,570493736,1482812522.65239,2016-12-26 22:22:02
BALT,564169434,darekj,elic,Eli commented on test,t,949864988,1482535987.55283,2016-12-23 23:33:07
BALT,426973663,darekj,elic,Eli commented on AMAZING ,t,909090278,1482535951.12645,2016-12-23 23:32:31
BALT,588219673,darekj,elic,"Eli commented on 
",t,41380152,1482865394.5115,2016-12-27 19:03:14
BALT,68452026,darekj,elic,Eli commented on this should be edited,t,37358728,1482535964.91977,2016-12-23 23:32:44
